translation,codeBlock
print '502' to the screen,const printNumber console.log('502')
print '503' to the screen,const printNumber console.log('503')
print '504' to the screen,const printNumber console.log('504')
print '505' to the screen,const printNumber console.log('505')
print '506' to the screen,const printNumber console.log('506')
print '507' to the screen,const printNumber console.log('507')
print '508' to the screen,const printNumber console.log('508')
print '509' to the screen,const printNumber console.log('509')
print '510' to the screen,const printNumber console.log('510')
print '511' to the screen,const printNumber console.log('511')
print '512' to the screen,const printNumber console.log('512')
print '513' to the screen,const printNumber console.log('513')
print '514' to the screen,const printNumber console.log('514')
print '515' to the screen,const printNumber console.log('515')
print '516' to the screen,const printNumber console.log('516')
print '517' to the screen,const printNumber console.log('517')
print '518' to the screen,const printNumber console.log('518')
print '519' to the screen,const printNumber console.log('519')
print '520' to the screen,const printNumber console.log('520')
print '521' to the screen,const printNumber console.log('521')
print '522' to the screen,const printNumber console.log('522')
print '523' to the screen,const printNumber console.log('523')
print '524' to the screen,const printNumber console.log('524')
print '525' to the screen,const printNumber console.log('525')
print '526' to the screen,const printNumber console.log('526')
print '527' to the screen,const printNumber console.log('527')
print '528' to the screen,const printNumber console.log('528')
print '529' to the screen,const printNumber console.log('529')
print '530' to the screen,const printNumber console.log('530')
print '531' to the screen,const printNumber console.log('531')
print '532' to the screen,const printNumber console.log('532')
print '533' to the screen,const printNumber console.log('533')
print '534' to the screen,const printNumber console.log('534')
print '535' to the screen,const printNumber console.log('535')
print '536' to the screen,const printNumber console.log('536')
print '537' to the screen,const printNumber console.log('537')
print '538' to the screen,const printNumber console.log('538')
print '539' to the screen,const printNumber console.log('539')
print '540' to the screen,const printNumber console.log('540')
print '541' to the screen,const printNumber console.log('541')
print '542' to the screen,const printNumber console.log('542')
print '543' to the screen,const printNumber console.log('543')
print '544' to the screen,const printNumber console.log('544')
print '545' to the screen,const printNumber console.log('545')
print '546' to the screen,const printNumber console.log('546')
print '547' to the screen,const printNumber console.log('547')
print '548' to the screen,const printNumber console.log('548')
print '549' to the screen,const printNumber console.log('549')
print '550' to the screen,const printNumber console.log('550')
print '551' to the screen,const printNumber console.log('551')
print '552' to the screen,const printNumber console.log('552')
print '553' to the screen,const printNumber console.log('553')
print '554' to the screen,const printNumber console.log('554')
print '555' to the screen,const printNumber console.log('555')
print '556' to the screen,const printNumber console.log('556')
print '557' to the screen,const printNumber console.log('557')
print '558' to the screen,const printNumber console.log('558')
print '559' to the screen,const printNumber console.log('559')
print '560' to the screen,const printNumber console.log('560')
print '561' to the screen,const printNumber console.log('561')
print '562' to the screen,const printNumber console.log('562')
print '563' to the screen,const printNumber console.log('563')
print '564' to the screen,const printNumber console.log('564')
print '565' to the screen,const printNumber console.log('565')
print '566' to the screen,const printNumber console.log('566')
print '567' to the screen,const printNumber console.log('567')
print '568' to the screen,const printNumber console.log('568')
print '569' to the screen,const printNumber console.log('569')
print '570' to the screen,const printNumber console.log('570')
print '571' to the screen,const printNumber console.log('571')
print '572' to the screen,const printNumber console.log('572')
print '573' to the screen,const printNumber console.log('573')
print '574' to the screen,const printNumber console.log('574')
print '575' to the screen,const printNumber console.log('575')
print '576' to the screen,const printNumber console.log('576')
print '577' to the screen,const printNumber console.log('577')
print '578' to the screen,const printNumber console.log('578')
print '579' to the screen,const printNumber console.log('579')
print '580' to the screen,const printNumber console.log('580')
print '581' to the screen,const printNumber console.log('581')
print '582' to the screen,const printNumber console.log('582')
print '583' to the screen,const printNumber console.log('583')
print '584' to the screen,const printNumber console.log('584')
print '585' to the screen,const printNumber console.log('585')
print '586' to the screen,const printNumber console.log('586')
print '587' to the screen,const printNumber console.log('587')
print '588' to the screen,const printNumber console.log('588')
print '589' to the screen,const printNumber console.log('589')
print '590' to the screen,const printNumber console.log('590')
print '591' to the screen,const printNumber console.log('591')
print '592' to the screen,const printNumber console.log('592')
print '593' to the screen,const printNumber console.log('593')
print '594' to the screen,const printNumber console.log('594')
print '595' to the screen,const printNumber console.log('595')
print '596' to the screen,const printNumber console.log('596')
print '597' to the screen,const printNumber console.log('597')
print '598' to the screen,const printNumber console.log('598')
print '599' to the screen,const printNumber console.log('599')
print '600' to the screen,const printNumber console.log('600')
print '601' to the screen,const printNumber console.log('601')
print '602' to the screen,const printNumber console.log('602')
print '603' to the screen,const printNumber console.log('603')
print '604' to the screen,const printNumber console.log('604')
print '605' to the screen,const printNumber console.log('605')
print '606' to the screen,const printNumber console.log('606')
print '607' to the screen,const printNumber console.log('607')
print '608' to the screen,const printNumber console.log('608')
print '609' to the screen,const printNumber console.log('609')
print '610' to the screen,const printNumber console.log('610')
print '611' to the screen,const printNumber console.log('611')
print '612' to the screen,const printNumber console.log('612')
print '613' to the screen,const printNumber console.log('613')
print '614' to the screen,const printNumber console.log('614')
print '615' to the screen,const printNumber console.log('615')
print '616' to the screen,const printNumber console.log('616')
print '617' to the screen,const printNumber console.log('617')
print '618' to the screen,const printNumber console.log('618')
print '619' to the screen,const printNumber console.log('619')
print '620' to the screen,const printNumber console.log('620')
print '621' to the screen,const printNumber console.log('621')
print '622' to the screen,const printNumber console.log('622')
print '623' to the screen,const printNumber console.log('623')
print '624' to the screen,const printNumber console.log('624')
print '625' to the screen,const printNumber console.log('625')
print '626' to the screen,const printNumber console.log('626')
print '627' to the screen,const printNumber console.log('627')
print '628' to the screen,const printNumber console.log('628')
print '629' to the screen,const printNumber console.log('629')
print '630' to the screen,const printNumber console.log('630')
print '631' to the screen,const printNumber console.log('631')
print '632' to the screen,const printNumber console.log('632')
print '633' to the screen,const printNumber console.log('633')
print '634' to the screen,const printNumber console.log('634')
print '635' to the screen,const printNumber console.log('635')
print '636' to the screen,const printNumber console.log('636')
print '637' to the screen,const printNumber console.log('637')
print '638' to the screen,const printNumber console.log('638')
print '639' to the screen,const printNumber console.log('639')
print '640' to the screen,const printNumber console.log('640')
print '641' to the screen,const printNumber console.log('641')
print '642' to the screen,const printNumber console.log('642')
print '643' to the screen,const printNumber console.log('643')
print '644' to the screen,const printNumber console.log('644')
print '645' to the screen,const printNumber console.log('645')
print '646' to the screen,const printNumber console.log('646')
print '647' to the screen,const printNumber console.log('647')
print '648' to the screen,const printNumber console.log('648')
print '649' to the screen,const printNumber console.log('649')
print '650' to the screen,const printNumber console.log('650')
print '651' to the screen,const printNumber console.log('651')
print '652' to the screen,const printNumber console.log('652')
print '653' to the screen,const printNumber console.log('653')
print '654' to the screen,const printNumber console.log('654')
print '655' to the screen,const printNumber console.log('655')
print '656' to the screen,const printNumber console.log('656')
print '657' to the screen,const printNumber console.log('657')
print '658' to the screen,const printNumber console.log('658')
print '659' to the screen,const printNumber console.log('659')
print '660' to the screen,const printNumber console.log('660')
print '661' to the screen,const printNumber console.log('661')
print '662' to the screen,const printNumber console.log('662')
print '663' to the screen,const printNumber console.log('663')
print '664' to the screen,const printNumber console.log('664')
print '665' to the screen,const printNumber console.log('665')
print '666' to the screen,const printNumber console.log('666')
print '667' to the screen,const printNumber console.log('667')
print '668' to the screen,const printNumber console.log('668')
print '669' to the screen,const printNumber console.log('669')
print '670' to the screen,const printNumber console.log('670')
print '671' to the screen,const printNumber console.log('671')
print '672' to the screen,const printNumber console.log('672')
print '673' to the screen,const printNumber console.log('673')
print '674' to the screen,const printNumber console.log('674')
print '675' to the screen,const printNumber console.log('675')
print '676' to the screen,const printNumber console.log('676')
print '677' to the screen,const printNumber console.log('677')
print '678' to the screen,const printNumber console.log('678')
print '679' to the screen,const printNumber console.log('679')
print '680' to the screen,const printNumber console.log('680')
print '681' to the screen,const printNumber console.log('681')
print '682' to the screen,const printNumber console.log('682')
print '683' to the screen,const printNumber console.log('683')
print '684' to the screen,const printNumber console.log('684')
print '685' to the screen,const printNumber console.log('685')
print '686' to the screen,const printNumber console.log('686')
print '687' to the screen,const printNumber console.log('687')
print '688' to the screen,const printNumber console.log('688')
print '689' to the screen,const printNumber console.log('689')
print '690' to the screen,const printNumber console.log('690')
print '691' to the screen,const printNumber console.log('691')
print '692' to the screen,const printNumber console.log('692')
print '693' to the screen,const printNumber console.log('693')
print '694' to the screen,const printNumber console.log('694')
print '695' to the screen,const printNumber console.log('695')
print '696' to the screen,const printNumber console.log('696')
print '697' to the screen,const printNumber console.log('697')
print '698' to the screen,const printNumber console.log('698')
print '699' to the screen,const printNumber console.log('699')
print '700' to the screen,const printNumber console.log('700')
print '701' to the screen,const printNumber console.log('701')
print '702' to the screen,const printNumber console.log('702')
print '703' to the screen,const printNumber console.log('703')
print '704' to the screen,const printNumber console.log('704')
print '705' to the screen,const printNumber console.log('705')
print '706' to the screen,const printNumber console.log('706')
print '707' to the screen,const printNumber console.log('707')
print '708' to the screen,const printNumber console.log('708')
print '709' to the screen,const printNumber console.log('709')
print '710' to the screen,const printNumber console.log('710')
print '711' to the screen,const printNumber console.log('711')
print '712' to the screen,const printNumber console.log('712')
print '713' to the screen,const printNumber console.log('713')
print '714' to the screen,const printNumber console.log('714')
print '715' to the screen,const printNumber console.log('715')
print '716' to the screen,const printNumber console.log('716')
print '717' to the screen,const printNumber console.log('717')
print '718' to the screen,const printNumber console.log('718')
print '719' to the screen,const printNumber console.log('719')
print '720' to the screen,const printNumber console.log('720')
print '721' to the screen,const printNumber console.log('721')
print '722' to the screen,const printNumber console.log('722')
print '723' to the screen,const printNumber console.log('723')
print '724' to the screen,const printNumber console.log('724')
print '725' to the screen,const printNumber console.log('725')
print '726' to the screen,const printNumber console.log('726')
print '727' to the screen,const printNumber console.log('727')
print '728' to the screen,const printNumber console.log('728')
print '729' to the screen,const printNumber console.log('729')
print '730' to the screen,const printNumber console.log('730')
print '731' to the screen,const printNumber console.log('731')
print '732' to the screen,const printNumber console.log('732')
print '733' to the screen,const printNumber console.log('733')
print '734' to the screen,const printNumber console.log('734')
print '735' to the screen,const printNumber console.log('735')
print '736' to the screen,const printNumber console.log('736')
print '737' to the screen,const printNumber console.log('737')
print '738' to the screen,const printNumber console.log('738')
print '739' to the screen,const printNumber console.log('739')
print '740' to the screen,const printNumber console.log('740')
print '741' to the screen,const printNumber console.log('741')
print '742' to the screen,const printNumber console.log('742')
print '743' to the screen,const printNumber console.log('743')
print '744' to the screen,const printNumber console.log('744')
print '745' to the screen,const printNumber console.log('745')
print '746' to the screen,const printNumber console.log('746')
print '747' to the screen,const printNumber console.log('747')
print '748' to the screen,const printNumber console.log('748')
print '749' to the screen,const printNumber console.log('749')
print '750' to the screen,const printNumber console.log('750')
print '751' to the screen,const printNumber console.log('751')
print '752' to the screen,const printNumber console.log('752')
print '753' to the screen,const printNumber console.log('753')
print '754' to the screen,const printNumber console.log('754')
print '755' to the screen,const printNumber console.log('755')
print '756' to the screen,const printNumber console.log('756')
print '757' to the screen,const printNumber console.log('757')
print '758' to the screen,const printNumber console.log('758')
print '759' to the screen,const printNumber console.log('759')
print '760' to the screen,const printNumber console.log('760')
print '761' to the screen,const printNumber console.log('761')
print '762' to the screen,const printNumber console.log('762')
print '763' to the screen,const printNumber console.log('763')
print '764' to the screen,const printNumber console.log('764')
print '765' to the screen,const printNumber console.log('765')
print '766' to the screen,const printNumber console.log('766')
print '767' to the screen,const printNumber console.log('767')
print '768' to the screen,const printNumber console.log('768')
print '769' to the screen,const printNumber console.log('769')
print '770' to the screen,const printNumber console.log('770')
print '771' to the screen,const printNumber console.log('771')
print '772' to the screen,const printNumber console.log('772')
print '773' to the screen,const printNumber console.log('773')
print '774' to the screen,const printNumber console.log('774')
print '775' to the screen,const printNumber console.log('775')
print '776' to the screen,const printNumber console.log('776')
print '777' to the screen,const printNumber console.log('777')
print '778' to the screen,const printNumber console.log('778')
print '779' to the screen,const printNumber console.log('779')
print '780' to the screen,const printNumber console.log('780')
print '781' to the screen,const printNumber console.log('781')
print '782' to the screen,const printNumber console.log('782')
print '783' to the screen,const printNumber console.log('783')
print '784' to the screen,const printNumber console.log('784')
print '785' to the screen,const printNumber console.log('785')
print '786' to the screen,const printNumber console.log('786')
print '787' to the screen,const printNumber console.log('787')
print '788' to the screen,const printNumber console.log('788')
print '789' to the screen,const printNumber console.log('789')
print '790' to the screen,const printNumber console.log('790')
print '791' to the screen,const printNumber console.log('791')
print '792' to the screen,const printNumber console.log('792')
print '793' to the screen,const printNumber console.log('793')
print '794' to the screen,const printNumber console.log('794')
print '795' to the screen,const printNumber console.log('795')
print '796' to the screen,const printNumber console.log('796')
print '797' to the screen,const printNumber console.log('797')
print '798' to the screen,const printNumber console.log('798')
print '799' to the screen,const printNumber console.log('799')
print '800' to the screen,const printNumber console.log('800')
print '801' to the screen,const printNumber console.log('801')
print '802' to the screen,const printNumber console.log('802')
print '803' to the screen,const printNumber console.log('803')
print '804' to the screen,const printNumber console.log('804')
print '805' to the screen,const printNumber console.log('805')
print '806' to the screen,const printNumber console.log('806')
print '807' to the screen,const printNumber console.log('807')
print '808' to the screen,const printNumber console.log('808')
print '809' to the screen,const printNumber console.log('809')
print '810' to the screen,const printNumber console.log('810')
print '811' to the screen,const printNumber console.log('811')
print '812' to the screen,const printNumber console.log('812')
print '813' to the screen,const printNumber console.log('813')
print '814' to the screen,const printNumber console.log('814')
print '815' to the screen,const printNumber console.log('815')
print '816' to the screen,const printNumber console.log('816')
print '817' to the screen,const printNumber console.log('817')
print '818' to the screen,const printNumber console.log('818')
print '819' to the screen,const printNumber console.log('819')
print '820' to the screen,const printNumber console.log('820')
print '821' to the screen,const printNumber console.log('821')
print '822' to the screen,const printNumber console.log('822')
print '823' to the screen,const printNumber console.log('823')
print '824' to the screen,const printNumber console.log('824')
print '825' to the screen,const printNumber console.log('825')
print '826' to the screen,const printNumber console.log('826')
print '827' to the screen,const printNumber console.log('827')
print '828' to the screen,const printNumber console.log('828')
print '829' to the screen,const printNumber console.log('829')
print '830' to the screen,const printNumber console.log('830')
print '831' to the screen,const printNumber console.log('831')
print '832' to the screen,const printNumber console.log('832')
print '833' to the screen,const printNumber console.log('833')
print '834' to the screen,const printNumber console.log('834')
print '835' to the screen,const printNumber console.log('835')
print '836' to the screen,const printNumber console.log('836')
print '837' to the screen,const printNumber console.log('837')
print '838' to the screen,const printNumber console.log('838')
print '839' to the screen,const printNumber console.log('839')
print '840' to the screen,const printNumber console.log('840')
print '841' to the screen,const printNumber console.log('841')
print '842' to the screen,const printNumber console.log('842')
print '843' to the screen,const printNumber console.log('843')
print '844' to the screen,const printNumber console.log('844')
print '845' to the screen,const printNumber console.log('845')
print '846' to the screen,const printNumber console.log('846')
print '847' to the screen,const printNumber console.log('847')
print '848' to the screen,const printNumber console.log('848')
print '849' to the screen,const printNumber console.log('849')
print '850' to the screen,const printNumber console.log('850')
print '851' to the screen,const printNumber console.log('851')
print '852' to the screen,const printNumber console.log('852')
print '853' to the screen,const printNumber console.log('853')
print '854' to the screen,const printNumber console.log('854')
print '855' to the screen,const printNumber console.log('855')
print '856' to the screen,const printNumber console.log('856')
print '857' to the screen,const printNumber console.log('857')
print '858' to the screen,const printNumber console.log('858')
print '859' to the screen,const printNumber console.log('859')
print '860' to the screen,const printNumber console.log('860')
print '861' to the screen,const printNumber console.log('861')
print '862' to the screen,const printNumber console.log('862')
print '863' to the screen,const printNumber console.log('863')
print '864' to the screen,const printNumber console.log('864')
print '865' to the screen,const printNumber console.log('865')
print '866' to the screen,const printNumber console.log('866')
print '867' to the screen,const printNumber console.log('867')
print '868' to the screen,const printNumber console.log('868')
print '869' to the screen,const printNumber console.log('869')
print '870' to the screen,const printNumber console.log('870')
print '871' to the screen,const printNumber console.log('871')
print '872' to the screen,const printNumber console.log('872')
print '873' to the screen,const printNumber console.log('873')
print '874' to the screen,const printNumber console.log('874')
print '875' to the screen,const printNumber console.log('875')
print '876' to the screen,const printNumber console.log('876')
print '877' to the screen,const printNumber console.log('877')
print '878' to the screen,const printNumber console.log('878')
print '879' to the screen,const printNumber console.log('879')
print '880' to the screen,const printNumber console.log('880')
print '881' to the screen,const printNumber console.log('881')
print '882' to the screen,const printNumber console.log('882')
print '883' to the screen,const printNumber console.log('883')
print '884' to the screen,const printNumber console.log('884')
print '885' to the screen,const printNumber console.log('885')
print '886' to the screen,const printNumber console.log('886')
print '887' to the screen,const printNumber console.log('887')
print '888' to the screen,const printNumber console.log('888')
print '889' to the screen,const printNumber console.log('889')
print '890' to the screen,const printNumber console.log('890')
print '891' to the screen,const printNumber console.log('891')
print '892' to the screen,const printNumber console.log('892')
print '893' to the screen,const printNumber console.log('893')
print '894' to the screen,const printNumber console.log('894')
print '895' to the screen,const printNumber console.log('895')
print '896' to the screen,const printNumber console.log('896')
print '897' to the screen,const printNumber console.log('897')
print '898' to the screen,const printNumber console.log('898')
print '899' to the screen,const printNumber console.log('899')
print '900' to the screen,const printNumber console.log('900')
print '901' to the screen,const printNumber console.log('901')
print '902' to the screen,const printNumber console.log('902')
print '903' to the screen,const printNumber console.log('903')
print '904' to the screen,const printNumber console.log('904')
print '905' to the screen,const printNumber console.log('905')
print '906' to the screen,const printNumber console.log('906')
print '907' to the screen,const printNumber console.log('907')
print '908' to the screen,const printNumber console.log('908')
print '909' to the screen,const printNumber console.log('909')
print '910' to the screen,const printNumber console.log('910')
print '911' to the screen,const printNumber console.log('911')
print '912' to the screen,const printNumber console.log('912')
print '913' to the screen,const printNumber console.log('913')
print '914' to the screen,const printNumber console.log('914')
print '915' to the screen,const printNumber console.log('915')
print '916' to the screen,const printNumber console.log('916')
print '917' to the screen,const printNumber console.log('917')
print '918' to the screen,const printNumber console.log('918')
print '919' to the screen,const printNumber console.log('919')
print '920' to the screen,const printNumber console.log('920')
print '921' to the screen,const printNumber console.log('921')
print '922' to the screen,const printNumber console.log('922')
print '923' to the screen,const printNumber console.log('923')
print '924' to the screen,const printNumber console.log('924')
print '925' to the screen,const printNumber console.log('925')
print '926' to the screen,const printNumber console.log('926')
print '927' to the screen,const printNumber console.log('927')
print '928' to the screen,const printNumber console.log('928')
print '929' to the screen,const printNumber console.log('929')
print '930' to the screen,const printNumber console.log('930')
print '931' to the screen,const printNumber console.log('931')
print '932' to the screen,const printNumber console.log('932')
print '933' to the screen,const printNumber console.log('933')
print '934' to the screen,const printNumber console.log('934')
print '935' to the screen,const printNumber console.log('935')
print '936' to the screen,const printNumber console.log('936')
print '937' to the screen,const printNumber console.log('937')
print '938' to the screen,const printNumber console.log('938')
print '939' to the screen,const printNumber console.log('939')
print '940' to the screen,const printNumber console.log('940')
print '941' to the screen,const printNumber console.log('941')
print '942' to the screen,const printNumber console.log('942')
print '943' to the screen,const printNumber console.log('943')
print '944' to the screen,const printNumber console.log('944')
print '945' to the screen,const printNumber console.log('945')
print '946' to the screen,const printNumber console.log('946')
print '947' to the screen,const printNumber console.log('947')
print '948' to the screen,const printNumber console.log('948')
print '949' to the screen,const printNumber console.log('949')
print '950' to the screen,const printNumber console.log('950')
print '951' to the screen,const printNumber console.log('951')
print '952' to the screen,const printNumber console.log('952')
print '953' to the screen,const printNumber console.log('953')
print '954' to the screen,const printNumber console.log('954')
print '955' to the screen,const printNumber console.log('955')
print '956' to the screen,const printNumber console.log('956')
print '957' to the screen,const printNumber console.log('957')
print '958' to the screen,const printNumber console.log('958')
print '959' to the screen,const printNumber console.log('959')
print '960' to the screen,const printNumber console.log('960')
print '961' to the screen,const printNumber console.log('961')
print '962' to the screen,const printNumber console.log('962')
print '963' to the screen,const printNumber console.log('963')
print '964' to the screen,const printNumber console.log('964')
print '965' to the screen,const printNumber console.log('965')
print '966' to the screen,const printNumber console.log('966')
print '967' to the screen,const printNumber console.log('967')
print '968' to the screen,const printNumber console.log('968')
print '969' to the screen,const printNumber console.log('969')
print '970' to the screen,const printNumber console.log('970')
print '971' to the screen,const printNumber console.log('971')
print '972' to the screen,const printNumber console.log('972')
print '973' to the screen,const printNumber console.log('973')
print '974' to the screen,const printNumber console.log('974')
print '975' to the screen,const printNumber console.log('975')
print '976' to the screen,const printNumber console.log('976')
print '977' to the screen,const printNumber console.log('977')
print '978' to the screen,const printNumber console.log('978')
print '979' to the screen,const printNumber console.log('979')
print '980' to the screen,const printNumber console.log('980')
print '981' to the screen,const printNumber console.log('981')
print '982' to the screen,const printNumber console.log('982')
print '983' to the screen,const printNumber console.log('983')
print '984' to the screen,const printNumber console.log('984')
print '985' to the screen,const printNumber console.log('985')
print '986' to the screen,const printNumber console.log('986')
print '987' to the screen,const printNumber console.log('987')
print '988' to the screen,const printNumber console.log('988')
print '989' to the screen,const printNumber console.log('989')
print '990' to the screen,const printNumber console.log('990')
print '991' to the screen,const printNumber console.log('991')
print '992' to the screen,const printNumber console.log('992')
print '993' to the screen,const printNumber console.log('993')
print '994' to the screen,const printNumber console.log('994')
print '995' to the screen,const printNumber console.log('995')
print '996' to the screen,const printNumber console.log('996')
print '997' to the screen,const printNumber console.log('997')
print '998' to the screen,const printNumber console.log('998')
print '999' to the screen,const printNumber console.log('999')
print '1000' to the screen,const printNumber console.log('1000')
